sex,age,studytime,failures,activities,higher,romantic,famrel,freetime,goout,absences,G3
F,18,2,0,no,yes,no,4,3,4,1,2
F,17,2,0,no,yes,no,5,3,3,1,2
F,15,2,0,no,yes,no,4,3,2,2,2
F,15,3,0,yes,yes,yes,3,2,2,1,2
F,16,2,0,no,yes,no,4,3,2,1,2
M,16,2,0,yes,yes,no,5,4,2,2,2
M,16,2,0,no,yes,no,4,4,4,1,2
F,17,2,0,no,yes,no,4,1,4,1,2
M,15,2,0,no,yes,no,4,2,2,1,3
M,15,2,0,yes,yes,no,5,5,1,1,2
F,15,2,0,no,yes,no,3,3,3,1,2
F,15,3,0,yes,yes,no,5,2,2,1,2
M,15,1,0,yes,yes,no,4,3,3,1,2
M,15,2,0,no,yes,no,5,4,3,1,2
M,15,3,0,no,yes,yes,4,5,2,1,3
F,16,1,0,no,yes,no,4,4,4,2,3
F,16,3,0,yes,yes,no,3,2,3,3,2
F,16,2,0,yes,yes,no,5,3,2,1,2
M,17,1,3,yes,yes,no,5,5,5,1,1
M,16,1,0,yes,yes,no,3,1,3,2,2
M,15,2,0,no,yes,no,4,4,1,1,2
M,15,1,0,no,yes,no,5,4,2,1,2
M,16,2,0,yes,yes,no,4,5,1,1,2
M,16,2,0,yes,yes,no,5,4,4,1,2
F,15,3,0,yes,yes,no,4,3,2,1,2
F,16,1,0,no,yes,no,1,2,2,2,2
M,15,1,0,no,yes,no,4,2,2,2,2
M,15,1,0,no,yes,no,2,2,4,1,2
M,16,2,0,yes,yes,no,5,3,3,1,2
M,16,2,0,yes,yes,yes,4,4,5,1,2
M,15,2,0,no,yes,no,5,4,2,1,2
M,15,2,0,yes,yes,no,4,3,1,1,3
M,15,2,0,yes,yes,yes,4,5,2,1,3
M,15,2,0,yes,yes,no,5,3,2,1,2
M,16,1,0,no,yes,no,5,4,3,1,2
F,15,1,0,yes,yes,no,3,5,1,1,2
M,15,3,0,yes,yes,no,5,4,3,1,2
M,16,3,0,yes,yes,yes,2,4,3,1,2
F,15,3,0,yes,yes,no,4,3,2,1,2
F,15,1,0,yes,yes,no,4,3,1,2,2
F,16,2,0,yes,yes,yes,3,3,3,4,2
M,15,1,0,no,yes,yes,5,4,3,2,2
M,15,2,0,yes,yes,no,4,3,3,1,3
M,15,1,0,no,yes,no,5,4,1,1,2
F,16,2,1,yes,yes,no,4,3,3,3,2
F,15,2,0,yes,yes,yes,5,2,2,1,2
F,16,2,0,no,yes,no,2,3,5,2,2
M,16,4,0,yes,yes,no,4,2,2,1,3
M,15,2,0,no,yes,no,4,3,3,1,2
F,15,2,0,yes,yes,no,4,4,4,1,2
F,16,2,0,no,yes,no,4,3,3,1,2
F,15,2,0,no,yes,no,4,3,3,1,3
M,15,1,0,no,yes,no,5,5,5,1,1
F,15,1,0,no,yes,no,3,3,4,1,2
F,15,1,0,no,yes,no,5,3,4,1,2
F,16,2,0,yes,yes,yes,5,3,4,1,2
F,15,2,0,yes,yes,no,4,3,2,1,3
M,15,2,0,yes,yes,no,3,2,2,2,3
M,15,2,0,yes,yes,no,4,3,2,1,2
F,16,2,0,no,yes,no,4,2,3,1,3
F,16,2,0,yes,yes,no,2,4,4,1,3
F,16,1,0,yes,yes,yes,5,5,5,1,3
F,16,2,0,yes,yes,no,4,4,3,1,2
F,16,3,0,yes,yes,no,3,4,4,1,2
F,15,2,0,yes,yes,yes,4,4,4,1,2
F,16,2,0,yes,yes,no,5,4,3,1,3
M,15,4,0,yes,yes,yes,1,3,3,1,2
F,16,4,0,no,yes,no,4,3,3,1,2
F,15,2,0,no,yes,no,4,1,3,1,2
F,15,4,0,no,yes,no,4,4,2,2,3
M,16,4,0,no,yes,no,4,3,2,1,2
M,15,4,0,no,yes,no,3,3,3,1,2
F,15,2,0,no,yes,yes,3,3,4,1,2
M,16,1,0,yes,yes,no,5,3,2,1,2
F,16,2,0,yes,yes,no,4,3,3,1,2
M,15,2,0,yes,yes,no,4,3,3,1,2
M,15,4,0,yes,yes,no,3,4,3,1,2
F,16,4,0,no,yes,yes,5,2,3,1,2
M,17,1,3,yes,no,no,4,5,1,1,2
F,16,2,0,no,yes,no,2,4,3,3,2
M,15,1,0,yes,yes,yes,3,2,2,1,2
M,15,3,0,no,yes,no,5,3,2,1,1
F,15,2,0,no,yes,no,4,4,4,1,2
M,15,2,0,yes,yes,no,5,3,3,1,2
F,15,2,0,yes,yes,no,4,3,2,1,2
F,15,2,0,no,yes,yes,4,4,4,1,2
F,16,2,0,no,yes,no,4,3,4,2,2
F,15,3,0,yes,yes,no,5,3,3,1,3
M,16,2,0,yes,yes,no,4,4,2,2,2
M,16,2,0,no,yes,no,4,1,3,2,2
F,16,3,0,no,yes,yes,4,3,3,1,2
F,15,1,0,yes,yes,no,4,5,5,2,2
F,16,2,0,no,yes,no,3,3,3,1,2
